"Korea, Dem. People's Rep.",25516321,25638149
Portugal,10300300,10283822
Paraguay,6355404,6443328
West Bank and Gaza,4454805,4569087
Pacific island small states,2484263,2510226
Post-demographic dividend,1106214534,1110126741
French Polynesia,295450,297606
Qatar,2711755,2766732
Romania,19588715,19473970
Russian Federation,144496739,144477859
Rwanda,12230339,12531808
South Asia,1818868706,1840534093
Saudi Arabia,34193122,35018133
Sudan,40679828,41999059
Senegal,15157793,15574909
Singapore,5612253,5638676
Solomon Islands,643634,659249
Sierra Leone,7677565,7861281
El Salvador,6266654,6276342
San Marino,34056,34156
Somalia,14864221,15411094
Serbia,7020858,6982604
Sub-Saharan Africa (excluding high income),1063789157,1092306937
South Sudan,10658226,10395329
Sub-Saharan Africa,1063885000,1092403699
Small states,40727936,41379093
Sao Tome and Principe,208036,211344
Suriname,587559,593715
Slovak Republic,5439232,5446771
Slovenia,2066388,2073894
Sweden,10057698,10175214
Eswatini,1151390,1160428
Sint Maarten (Dutch part),40574,40895
Seychelles,95843,96762
Syrian Arab Republic,18983373,19333463
Turks and Caicos Islands,39844,41487
Chad,15085884,15604210
East Asia & Pacific (IDA & IBRD countries),2055414680,2068898629
Europe & Central Asia (IDA & IBRD countries),458170561,459613334
Togo,7852795,8046679
Thailand,70898202,71127802
Tajikistan,8925525,9128132
Turkmenistan,5968383,6065066
Latin America & the Caribbean (IDA & IBRD countries),617875842,623841282
Timor-Leste,1243235,1261845
Middle East & North Africa (IDA & IBRD countries),387152617,393806257
Tonga,105415,105150
South Asia (IDA & IBRD),1818868706,1840534093
Sub-Saharan Africa (IDA & IBRD countries),1063885000,1092403699
Trinidad and Tobago,1478607,1504709
Tunisia,11811443,11933041
Turkiye,82089826,82809304
Tuvalu,10828,10865
Tanzania,56267032,58090443
Uganda,40127085,41515395
Ukraine,44831135,44622518
Upper middle income,2453799496,2469801107
Uruguay,3422200,3427042
United States,325122128,326838199
Uzbekistan,32388600,32956100
St. Vincent and the Grenadines,105549,105281
"Venezuela, RB",30563433,29825653
British Virgin Islands,30060,30335
Virgin Islands (U.S.),107281,107001
Vietnam,94033048,94914330
Vanuatu,290239,297298
World,7578157615,7661776338
Samoa,207630,209701
Kosovo,1791003,1797085
"Yemen, Rep.",30034389,30790513
South Africa,56641209,57339635
Zambia,17298054,17835893
Zimbabwe,14751101,15052184
