Niger,62.16,62.454
Nigeria,52.305,52.554
Nicaragua,73.554,73.85
Netherlands,81.76097561,81.81219512
Norway,82.6097561,82.75853659
Nepal,68.91,68.979
Nauru,,
New Zealand,81.65853659,81.85853659
OECD members,79.93076264,80.01518261
Oman,77.924,77.966
Other small states,68.37720715,68.49624095
Pakistan,66.297,66.482
Panama,77.795,77.863
Peru,75.879,76.009
Philippines,71.516,71.689
Palau,,
Papua New Guinea,65.103,65.182
Poland,77.75365854,77.60243902
Pre-demographic dividend,59.95061135,60.35483878
Puerto Rico,79.258,79.77
"Korea, Dem. People's Rep.",72.978,73.031
Portugal,81.42439024,81.32439024
Paraguay,73.644,73.568
West Bank and Gaza,74.833,74.793
Pacific island small states,69.24364871,69.33208434
Post-demographic dividend,80.58503495,80.67863559
French Polynesia,82.618,82.783
Qatar,80.717,80.898
Romania,75.3097561,75.35853659
Russian Federation,72.45146341,72.66219512
Rwanda,65.941,66.251
South Asia,69.97910208,70.25347861
Saudi Arabia,77.16,77.212
Sudan,65.445,65.681
Senegal,67.75,68.097
Singapore,83.09512195,83.29756098
Solomon Islands,69.988,70.173
Sierra Leone,58.652,59.796
El Salvador,72.311,72.555
San Marino,,
Somalia,55.654,56.375
Serbia,75.53902439,75.8902439
Sub-Saharan Africa (excluding high income),60.47588946,60.86196303
South Sudan,55.309,55.95
Sub-Saharan Africa,60.47713484,60.86302414
Small states,69.18781517,69.26599104
Sao Tome and Principe,68.267,68.355
Suriname,72.417,72.553
Slovak Republic,77.16585366,77.26585366
Slovenia,81.02926829,81.37804878
Sweden,82.4097561,82.55853659
Eswatini,57.895,59.411
Sint Maarten (Dutch part),,
Seychelles,74.3,72.84146341
Syrian Arab Republic,68.481,70.145
Turks and Caicos Islands,76.702,76.443
Chad,52.308,52.825
East Asia & Pacific (IDA & IBRD countries),75.41605992,75.8360179
Europe & Central Asia (IDA & IBRD countries),73.88919837,74.05321845
Togo,60.154,60.244
Thailand,78.394,78.662
Tajikistan,69.905,70.353
Turkmenistan,68.916,68.796
Latin America & the Caribbean (IDA & IBRD countries),74.65638004,74.77687654
Timor-Leste,67.745,68.017
Middle East & North Africa (IDA & IBRD countries),72.74322855,72.96338906
Tonga,70.713,70.779
South Asia (IDA & IBRD),69.97910208,70.25347861
Sub-Saharan Africa (IDA & IBRD countries),60.47713484,60.86302414
Trinidad and Tobago,74.23,73.802
Tunisia,75.845,75.95
Turkiye,77.141,77.563
Tuvalu,64.148,64.212
Tanzania,65.999,66.535
Uganda,62.115,62.714
Ukraine,71.78097561,71.58268293
Upper middle income,75.94544831,76.31752169
Uruguay,77.625,77.611
United States,78.53902439,78.63902439
Uzbekistan,71.01,71.149
St. Vincent and the Grenadines,74.305,74.128
"Venezuela, RB",71.943,71.979
British Virgin Islands,74.785,75.831
Virgin Islands (U.S.),79.36829268,79.5195122
Vietnam,73.963,73.976
Vanuatu,69.71,69.795
World,72.54304407,72.78523684
Samoa,72.59,72.636
Kosovo,78.783,78.696
"Yemen, Rep.",65.957,64.575
South Africa,65.402,65.674
Zambia,62.12,62.342
Zimbabwe,60.709,61.414
